ticker,market_cap,universe_rank
HIPO,756603748,2603
SG,752773207,2604
ZVRA,752535019,2605
KRT,750536467,2606
IVR,750476130,2607
FWRG,750218250,2608
CTO,748306563,2609
CSTL,745813520,2610
JBI,745384788,2611
CGBD,744386885,2612
WEST,744367250,2613
ACRS,743709096,2614
SOC,743037769,2615
CBLL,738934083,2616
IBTA,734092522,2617
NIE,732486490,2618
BLMN,732430225,2619
PSIX,730929770,2620
CARE,729548588,2621
OCS,729374649,2622
PFLT,726771088,2623
SABR,725399856,2624
HSHP,725092500,2625
SLRC,724212766,2626
SB,723893057,2627
GMRS,723756927,2628
INN,720085943,2629
SSII,718472211,2630
SXC,717433789,2631
KRNT,714106751,2632
WASH,713720474,2633
GYRE,713528634,2634
MAMA,711976772,2635
BALY,710491759,2636
MNPR,710167563,2637
SWIM,709753056,2638
CCSI,705745362,2639
AURA,705436357,2640
PFIS,704843106,2641
AIIO,702912700,2642
NXRT,702671516,2643
SSYS,702306193,2644
AROW,701987437,2645
PRAA,701029521,2646
NGNE,700975873,2647
IMMX,699301972,2648
CASS,698195478,2649
CARS,695068510,2650
TCBX,694212251,2651
CLYM,693741524,2652
SHEN,693732360,2653
BCAL,693473605,2654
BWMX,691805814,2655
PAR,690873833,2656
VBNK,690758679,2657
SGP,689395780,2658
VEL,686771141,2659
MCS,686470959,2660
SWBI,686113223,2661
DGICA,685417656,2662
ODV,685076755,2663
CADL,680680520,2664
PHR,680548898,2665
NMFC,680529470,2666
NEXN,679557075,2667
CWH,678167742,2668
PSTL,677060760,2669
HELE,676401451,2670
NXP,674801090,2671
MEC,674457737,2672
TRTX,673741041,2673
OMER,673452678,2674
CNNE,671410932,2675
WHK,670845886,2676
RSVR,669749483,2677
KOPN,669488335,2678
TIPT,668747335,2679
FTH,667927516,2680
GAIN,667416167,2681
TRON,666506800,2682
TCMD,666199139,2683
PKE,662872023,2684
OIO,661242005,2685
NPB,660513182,2686
VLGEA,660059014,2687
VTS,659890548,2688
EVH,659701458,2689
MSBI,657030979,2690
RRBI,657020967,2691
VRRM,656996274,2692
LPTH,656777197,2693
ALOY,656029732,2694
CRMD,655857809,2695
RMR,655759405,2696
RWT,655504383,2697
MDXG,654616488,2698
BBOT,652872898,2699
CGNT,651903316,2700
ASC,651617746,2701
VINP,649314323,2702
TREE,647978156,2703
HIFS,645719529,2704
CERS,645188096,2705
RMT,644528661,2706
LEGH,644481387,2707
NCDL,643513457,2708
TOP,641917473,2709
NB,637671270,2710
PUBM,637666852,2711
NRIM,636200308,2712
GOOD,633889573,2713
IRWD,632938546,2714
ACNB,632687186,2715
SMC,631721668,2716
GPRK,630137762,2717
FISN,628651327,2718
FBRT,628402968,2719
AMSF,628353187,2720
BWB,627933425,2721
KRNY,627898552,2722
NRDS,627391396,2723
KLC,624117136,2724
RGR,622782522,2725
BSTZ,618868192,2726
GSM,618508311,2727
CLDT,618059353,2728
XFLT,617152457,2729
CSV,615617765,2730
OXM,612616140,2731
NFBK,611422793,2732
MAKO,610325590,2733
TMS,610085999,2734
UHT,609971288,2735
ALLO,609197800,2736
CCOI,608693994,2737
AXG,607547708,2738
GRNT,607381034,2739
SMWB,604416841,2740
CIVB,603860176,2741
IIM,603417388,2742
IIIN,602722156,2743
SFST,602435838,2744
ACHV,601582074,2745
ILPT,599989239,2746
BMM,598767736,2747
ETD,598497893,2748
FAC,598259940,2749
CTKB,597284465,2750
HTZ,596763372,2751
CBNK,596430004,2752
HY,596420378,2753
IIIV,594661933,2754
NVCT,593625786,2755
NTGR,593430255,2756
FET,591835894,2757
WEAV,591570496,2758
ANGO,591259825,2759
DNUT,590418280,2760
PACK,590259638,2761
FLGT,589880940,2762
ALIT,588817210,2763
BRBI,588603050,2764
TECX,587869490,2765
PHOE,587327760,2766
RLMD,586336347,2767
MYGN,585106661,2768
KRUS,583799620,2769
ROMA,583137150,2770
KE,582945942,2771
OSPN,580931560,2772
VITL,580168067,2773
PRME,578878930,2774
BTGO,578057654,2775
RGNX,575730556,2776
MLR,574628979,2777
GCBC,573929099,2778
OOMA,573372250,2779
VGM,570531150,2780
IHRT,569088775,2781
FDMT,567458737,2782
ASIX,567218117,2783
BME,567053256,2784
AIOT,564901496,2785
RFI,564602836,2786
NPCE,563569605,2787
DDI,563422613,2788
AGCC,562657014,2789
BSRR,561358577,2790
MBUU,559459640,2791
HBCP,558042409,2792
METCB,557630795,2793
PRTH,557132725,2794
BDN,556746463,2795
GLRE,556201333,2796
FBIZ,555415066,2797
